study_accession,reported_trait,efo_trait,ontology_id,ontology_uri,publication,journal,pmid,first_author,publication_year,discovery_sample_size,discovery_sample_size_numeric,replication_sample_size,replication_sample_size_numeric,ancestry_population,number_of_reported_associations,summary_statistics_available,study_design_information,appropriate_for_common_variant_pd_risk,appropriateness_reason
GCST90455618,Parkinson's disease,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Proteogenomic network analysis reveals dysregulated mechanisms and potential mediators in Parkinson's disease.,Nat Commun,39080267,Doostparast Torshizi A,2024,"7,099 European ancestry cases, 531,918 European ancestry controls",539017,NA,0,European,10,False,technology=Genome-wide genotyping array; imputed=True; pooled=False; SNP count=11114080; comment=None,True,direct Parkinson case-control phenotype; variant-level genome-wide design; 10 ontology-linked reported associations
GCST90475830,Parkinson's disease,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program.,Science,39024449,Verma A,2024,"8,704 European ancestry cases, 440,252 European ancestry controls",448956,NA,0,European,3,True,technology=Genome-wide genotyping array; imputed=True; pooled=False; SNP count=44300000; comment=None,True,direct Parkinson case-control phenotype; variant-level genome-wide design; 3 ontology-linked reported associations; full p-value set flagged by Catalog
GCST90476961,Parkinson's disease,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program.,Science,39024449,Verma A,2024,"4,047 European ancestry cases, 311,621 European ancestry controls",315668,NA,0,European,0,True,technology=Genome-wide genotyping array; imputed=True; pooled=False; SNP count=44300000; comment=None,False,not primary-eligible: no ontology-linked reported associations; trait=Parkinson's disease
GCST90476962,Takes medication for parkinson's disease?,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program.,Science,39024449,Verma A,2024,"3,573 European ancestry cases, 312,095 European ancestry controls",315668,NA,0,European,0,True,technology=Genome-wide genotyping array; imputed=True; pooled=False; SNP count=44300000; comment=None,False,not primary-eligible: no ontology-linked reported associations; trait=Takes medication for parkinson's disease?
GCST90477508,Parkinson's disease,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program.,Science,39024449,Verma A,2024,"678 Hispanic or Latin American cases, 59,052 Hispanic or Latin American controls",59730,NA,0,Hispanic or Latin American,0,True,technology=Genome-wide genotyping array; imputed=True; pooled=False; SNP count=44300000; comment=None,False,not primary-eligible: no ontology-linked reported associations; trait=Parkinson's disease
GCST90477509,Parkinson's disease,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program.,Science,39024449,Verma A,2024,"711 African American or Afro-Caribbean cases, 120,893 African American or Afro-Caribbean controls",121604,NA,0,African American or Afro-Caribbean,0,True,technology=Genome-wide genotyping array; imputed=True; pooled=False; SNP count=44300000; comment=None,False,not primary-eligible: no ontology-linked reported associations; trait=Parkinson's disease
GCST90479726,Takes medication for parkinson's disease?,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program.,Science,39024449,Verma A,2024,"351 African American or Afro-Caribbean cases, 55,154 African American or Afro-Caribbean controls, 3,573 European ancestry cases, 312,095 European ancestry controls, 259 Hispanic or Latin American cases, 29,055 Hispanic or Latin American controls",400487,NA,0,African American or Afro-Caribbean; European; Hispanic or Latin American,3,True,technology=Genome-wide genotyping array; imputed=True; pooled=False; SNP count=44300000; comment=None,False,not primary-eligible: phenotype/design is not a direct common-variant Parkinson risk GWAS; trait=Takes medication for parkinson's disease?
GCST90479727,Parkinson's disease,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program.,Science,39024449,Verma A,2024,"278 African American or Afro-Caribbean cases, 55,227 African American or Afro-Caribbean controls, 4,047 European ancestry cases, 311,621 European ancestry controls, 235 Hispanic or Latin American cases, 29,079 Hispanic or Latin American controls",400487,NA,0,African American or Afro-Caribbean; European; Hispanic or Latin American,5,True,technology=Genome-wide genotyping array; imputed=True; pooled=False; SNP count=44300000; comment=None,True,direct Parkinson case-control phenotype; variant-level genome-wide design; 5 ontology-linked reported associations; full p-value set flagged by Catalog; multiple ancestry groups
GCST90480008,Parkinson's disease,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program.,Science,39024449,Verma A,2024,"711 African American or Afro-Caribbean cases, 120,893 African American or Afro-Caribbean controls, 8,704 European ancestry cases, 440,252 European ancestry controls, 678 Hispanic or Latin American cases, 59,052 Hispanic or Latin American controls",630290,NA,0,African American or Afro-Caribbean; European; Hispanic or Latin American,4,True,technology=Genome-wide genotyping array; imputed=True; pooled=False; SNP count=44300000; comment=None,True,direct Parkinson case-control phenotype; variant-level genome-wide design; 4 ontology-linked reported associations; full p-value set flagged by Catalog; multiple ancestry groups
GCST90481400,Parkinson's disease,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program.,Science,39024449,Verma A,2024,"235 Hispanic or Latin American cases, 29,079 Hispanic or Latin American controls",29314,NA,0,Hispanic or Latin American,0,False,technology=Genome-wide genotyping array; imputed=True; pooled=False; SNP count=44300000; comment=None,False,not primary-eligible: no ontology-linked reported associations; trait=Parkinson's disease
GCST90481401,Parkinson's disease,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program.,Science,39024449,Verma A,2024,"278 African American or Afro-Caribbean cases, 55,227 African American or Afro-Caribbean controls",55505,NA,0,African American or Afro-Caribbean,0,False,technology=Genome-wide genotyping array; imputed=True; pooled=False; SNP count=44300000; comment=None,False,not primary-eligible: no ontology-linked reported associations; trait=Parkinson's disease
GCST90481402,Takes medication for parkinson's disease?,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program.,Science,39024449,Verma A,2024,"259 Hispanic or Latin American cases, 29,055 Hispanic or Latin American controls",29314,NA,0,Hispanic or Latin American,0,False,technology=Genome-wide genotyping array; imputed=True; pooled=False; SNP count=44300000; comment=None,False,not primary-eligible: no ontology-linked reported associations; trait=Takes medication for parkinson's disease?
GCST90481403,Takes medication for parkinson's disease?,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program.,Science,39024449,Verma A,2024,"351 African American or Afro-Caribbean cases, 55,154 African American or Afro-Caribbean controls",55505,NA,0,African American or Afro-Caribbean,0,False,technology=Genome-wide genotyping array; imputed=True; pooled=False; SNP count=44300000; comment=None,False,not primary-eligible: no ontology-linked reported associations; trait=Takes medication for parkinson's disease?
GCST90709786,Motor progression (time to event) in Parkinson's disease,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Genome-wide determinants of mortality and motor progression in Parkinson's disease.,NPJ Parkinsons Dis,38849413,Tan MMX,2024,"3,331 European ancestry individuals",3331,NA,0,European,11,False,technology=Genome-wide genotyping array; imputed=True; pooled=False; SNP count=6549622; comment=None,False,not primary-eligible: phenotype/design is not a direct common-variant Parkinson risk GWAS; trait=Motor progression (time to event) in Parkinson's disease
GCST90709787,Mortality (time to event) in Parkinson's disease,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Genome-wide determinants of mortality and motor progression in Parkinson's disease.,NPJ Parkinsons Dis,38849413,Tan MMX,2024,"5,744 European ancestry individuals",5744,NA,0,European,10,False,technology=Genome-wide genotyping array; Genome-wide sequencing; imputed=True; pooled=False; SNP count=7313918; comment=None,False,not primary-eligible: phenotype/design is not a direct common-variant Parkinson risk GWAS; trait=Mortality (time to event) in Parkinson's disease
GCST90709788,Motor progression (time to event) in Parkinson's disease,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Genome-wide determinants of mortality and motor progression in Parkinson's disease.,NPJ Parkinsons Dis,38849413,Tan MMX,2024,"3,331 European ancestry individuals, unknown ancestry individuals (see Iwaki et al, 2019)",3331,NA,0,European; NR,2,False,technology=Genome-wide genotyping array; imputed=True; pooled=False; SNP count=None; comment=None,False,not primary-eligible: phenotype/design is not a direct common-variant Parkinson risk GWAS; trait=Motor progression (time to event) in Parkinson's disease
GCST90246062,ICD10 G20: parkinsons disease,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Genotyping and population characteristics of the China Kadoorie Biobank. ,Cell Genom,37601966,Walters RG,2023,"213 Chinese ancestry cases, 75,714 Chinese ancestry controls",75927,NA,0,East Asian,0,True,technology=Genome-wide genotyping array; imputed=True; pooled=False; SNP count=7551906; comment=Axiom custom arrays,False,not primary-eligible: no ontology-linked reported associations; trait=ICD10 G20: parkinsons disease
GCST90256604,Parkinson disease (MTAG),Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,"A Multi-Trait Association Analysis of Brain Disorders and Platelet Traits Identifies Novel Susceptibility Loci for Major Depression, Alzheimer's and Parkinson's Disease.",Cells,36672180,Tirozzi A,2023,"at least 37,688 European ancestry cases, at least 18,618 European ancestry controls",56306,NA,0,European,2,False,technology=Genome-wide genotyping array; imputed=False; pooled=False; SNP count=4540326; comment=None,False,not primary-eligible: phenotype/design is not a direct common-variant Parkinson risk GWAS; trait=Parkinson disease (MTAG)
GCST90270939,Parkinson's disease,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Genome-wide association study using whole-genome sequencing identifies risk loci for Parkinson's disease in Chinese population.,NPJ Parkinsons Dis,36759515,Pan H,2023,"1,972 Chinese ancestry cases, 2,478 Chinese ancestry controls",4450,"8,209 Chinese ancestry cases, 9,454 Chinese ancestry controls",17663,East Asian,19,False,technology=Genome-wide sequencing; imputed=False; pooled=False; SNP count=6910086; comment=None,True,direct Parkinson case-control phenotype; variant-level genome-wide design; 19 ontology-linked reported associations
GCST90275127,Parkinson's disease,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Multi-ancestry genome-wide association meta-analysis of Parkinson's disease.,Nat Genet,38155330,Kim JJ,2023,"35,261 European ancestry cases, 543,152 European ancestry controls, 6,724 East Asian ancestry cases, 24,851 East Asian ancestry controls, 807 Hispanic or Latin American cases, 690 Hispanic or Latin American controls",611485,NA,0,European; East Asian; Hispanic or Latin American,0,True,technology=Genome-wide genotyping array; imputed=True; pooled=False; SNP count=8938152; comment=None,False,not primary-eligible: no ontology-linked reported associations; trait=Parkinson's disease
GCST90278092,Parkinson's disease,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Ethnicity- and sex-specific genome wide association study on Parkinson's disease.,NPJ Parkinsons Dis,37805635,Park KW,2023,"1,050 East Asian ancestry cases, 5,000 East Asian ancestry controls",6050,NA,0,East Asian,5,True,technology=Targeted genotyping array; imputed=False; pooled=False; SNP count=492970; comment=K-CHIP,False,not primary-eligible: phenotype/design is not a direct common-variant Parkinson risk GWAS; trait=Parkinson's disease
GCST90296432,Parkinson's disease,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Ethnicity- and sex-specific genome wide association study on Parkinson's disease.,NPJ Parkinsons Dis,37805635,Park KW,2023,"554 East Asian ancestry female cases, 2,610 East Asian ancestry female controls",3164,NA,0,East Asian,2,False,technology=Targeted genotyping array; imputed=False; pooled=False; SNP count=486510; comment=K-CHIP,False,not primary-eligible: phenotype/design is not a direct common-variant Parkinson risk GWAS; trait=Parkinson's disease
GCST90296433,Parkinson's disease,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Ethnicity- and sex-specific genome wide association study on Parkinson's disease.,NPJ Parkinsons Dis,37805635,Park KW,2023,"496 East Asian ancestry male cases, 2,390 East Asian ancestry male controls",2886,NA,0,East Asian,6,False,technology=Targeted genotyping array; imputed=False; pooled=False; SNP count=488631; comment=K-CHIP,False,not primary-eligible: phenotype/design is not a direct common-variant Parkinson risk GWAS; trait=Parkinson's disease
GCST90308590,Parkinson's disease,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Multi-ancestry genome-wide association meta-analysis of Parkinson's disease.,Nat Genet,38155330,Kim JJ,2023,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls",2525730,NA,0,European; East Asian; Hispanic or Latin American; African unspecified,121,False,technology=Genome-wide genotyping array; imputed=True; pooled=False; SNP count=None; comment=None,True,direct Parkinson case-control phenotype; variant-level genome-wide design; 121 ontology-linked reported associations; multiple ancestry groups
GCST90320240,Parkinson's disease,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,"The Genetic Drivers of Juvenile, Young, and Early-Onset Parkinson's Disease in India.",Mov Disord,38014556,Andrews SV,2023,"515 South Asian ancestry cases, 1,363 South Asian ancestry controls",1878,NA,0,South Asian,2,False,technology=Genome-wide genotyping array; Genome-wide sequencing; imputed=True; pooled=False; SNP count=4499703; comment=None,True,direct Parkinson case-control phenotype; variant-level genome-wide design; 2 ontology-linked reported associations
GCST90320242,Parkinson's disease,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Identification of genetic risk loci and causal insights associated with Parkinson's disease in African and African admixed populations: a genome-wide association study.,Lancet Neurol,37633302,Rizig M,2023,"1,015 African ancestry cases, 1,296 African ancestry controls, 473 African admixed ancestry cases, 195,134 African admixed ancestry controls",197918,NA,0,Sub-Saharan African; African unspecified; African American or Afro-Caribbean,1,False,technology=Genome-wide genotyping array; imputed=True; pooled=False; SNP count=None; comment=None,True,direct Parkinson case-control phenotype; variant-level genome-wide design; 1 ontology-linked reported associations; multiple ancestry groups
GCST90321081,Parkinson disease axial motor progression,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Genome-wide Analysis of Motor Progression in Parkinson Disease.,Neurol Genet,37560120,Martínez Carrasco A,2023,"3,572 European ancestry individuals",3572,NA,0,European,3,False,technology=Genome-wide sequencing; Genome-wide genotyping array; imputed=True; pooled=False; SNP count=None; comment=None,False,not primary-eligible: phenotype/design is not a direct common-variant Parkinson risk GWAS; trait=Parkinson disease axial motor progression
GCST90321082,Parkinson disease limb motor progression,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Genome-wide Analysis of Motor Progression in Parkinson Disease.,Neurol Genet,37560120,Martínez Carrasco A,2023,"3,572 European ancestry individuals",3572,NA,0,European,0,False,technology=Genome-wide sequencing; Genome-wide genotyping array; imputed=True; pooled=False; SNP count=None; comment=None,False,not primary-eligible: no ontology-linked reported associations; trait=Parkinson disease limb motor progression
GCST90321083,Parkinson disease motor progression,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Genome-wide Analysis of Motor Progression in Parkinson Disease.,Neurol Genet,37560120,Martínez Carrasco A,2023,"3,572 European ancestry individuals",3572,NA,0,European,0,False,technology=Genome-wide sequencing; Genome-wide genotyping array; imputed=True; pooled=False; SNP count=None; comment=None,False,not primary-eligible: no ontology-linked reported associations; trait=Parkinson disease motor progression
GCST90321084,Parkinson disease axial motor severity,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Genome-wide Analysis of Motor Progression in Parkinson Disease.,Neurol Genet,37560120,Martínez Carrasco A,2023,"3,572 European ancestry individuals",3572,NA,0,European,3,False,technology=Genome-wide sequencing; Genome-wide genotyping array; imputed=True; pooled=False; SNP count=None; comment=None,False,not primary-eligible: phenotype/design is not a direct common-variant Parkinson risk GWAS; trait=Parkinson disease axial motor severity
GCST90321085,Parkinson disease limb motor severity,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Genome-wide Analysis of Motor Progression in Parkinson Disease.,Neurol Genet,37560120,Martínez Carrasco A,2023,"3,572 European ancestry individuals",3572,NA,0,European,0,False,technology=Genome-wide sequencing; Genome-wide genotyping array; imputed=True; pooled=False; SNP count=None; comment=None,False,not primary-eligible: no ontology-linked reported associations; trait=Parkinson disease limb motor severity
GCST90321086,Parkinson disease motor severity,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Genome-wide Analysis of Motor Progression in Parkinson Disease.,Neurol Genet,37560120,Martínez Carrasco A,2023,"3,572 European ancestry individuals",3572,NA,0,European,0,False,technology=Genome-wide sequencing; Genome-wide genotyping array; imputed=True; pooled=False; SNP count=None; comment=None,False,not primary-eligible: no ontology-linked reported associations; trait=Parkinson disease motor severity
GCST90428733,Parkinson disease,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,A genome-wide association study coupled with machine learning approaches to identify influential demographic and genomic factors underlying Parkinson's disease.,Front Genet,37842648,Rahman MA,2023,"6,868 cases, 204 controls",7072,NA,0,NR,37,False,technology=Genome-wide genotyping array; imputed=True; pooled=False; SNP count=447089; comment=None,True,direct Parkinson case-control phenotype; variant-level genome-wide design; 37 ontology-linked reported associations
GCST90270129,Parkinson’s disease progression to dementia,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Association between the LRP1B and APOE loci in the development of Parkinson's disease dementia.,Brain,36348503,Real R,2022,"3,923 European ancestry individuals",3923,NA,0,European,3,False,technology=Genome-wide genotyping array; Genome-wide sequencing; imputed=True; pooled=False; SNP count=6107418; comment=None,False,not primary-eligible: phenotype/design is not a direct common-variant Parkinson risk GWAS; trait=Parkinson’s disease progression to dementia
GCST012431,Parkinson's disease,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,"Imputation and Reanalysis of ExomeChip Data Identifies Novel, Conditional and Joint Genetic Effects on Parkinson's Disease Risk.",Genes (Basel),34064523,Rodrigo LM,2021,"5,167 European ancestry cases, 5,366 European ancestry controls",10533,NA,0,European,14,True,technology=Genome-wide genotyping array; imputed=True; pooled=False; SNP count=1465938; comment=None,True,direct Parkinson case-control phenotype; variant-level genome-wide design; 14 ontology-linked reported associations; full p-value set flagged by Catalog
GCST90000014,Parkinson's disease motor subtype (tremor dominant vs postural instability/gait difficulty),Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Genome-Wide Association Study Meta-Analysis for Parkinson Disease Motor Subtypes.,Neurol Genet,33987465,Alfradique-Dunham I,2021,"1,570 European ancestry tremor dominant cases, 1,259 European ancestry postural instability/gait difficulty cases",2829,NA,0,European,7,True,technology=Genome-wide genotyping array; imputed=True; pooled=False; SNP count=12910578; comment=None,False,not primary-eligible: phenotype/design is not a direct common-variant Parkinson risk GWAS; trait=Parkinson's disease motor subtype (tremor dominant vs postural instability/gait difficulty)
GCST90018674,Parkinson's disease,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,A cross-population atlas of genetic associations for 220 human phenotypes.,Nat Genet,34594039,Sakaue S,2021,"340 East Asian ancestry cases, 175,788 East Asian ancestry controls",176128,NA,0,East Asian,0,True,technology=Genome-wide genotyping array; imputed=True; pooled=False; SNP count=13429429; comment=Illumina HumanOmniExpressExome BeadChip or a combination of the Illumina HumanOmniExpress and HumanExome BeadChips,False,not primary-eligible: no ontology-linked reported associations; trait=Parkinson's disease
GCST90018894,Parkinson's disease,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,A cross-population atlas of genetic associations for 220 human phenotypes.,Nat Genet,34594039,Sakaue S,2021,"2,638 European ancestry cases, 477,380 European ancestry controls, 340 East Asian ancestry cases, 175,788 East Asian ancestry controls",656146,NA,0,European; East Asian,2,True,technology=Genome-wide genotyping array; imputed=True; pooled=False; SNP count=25844586; comment=None,True,direct Parkinson case-control phenotype; variant-level genome-wide design; 2 ontology-linked reported associations; full p-value set flagged by Catalog; multiple ancestry groups
GCST90026456,Parkinson's disease,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Characterizing the Genetic Architecture of Parkinson's Disease in Latinos.,Ann Neurol,34227697,Loesch DP,2021,"807 Latino cases, 690 Latino controls",1497,"1,234 Latino cases, 439,522 Latino controls",440756,Hispanic or Latin American,1,False,technology=Genome-wide genotyping array; imputed=True; pooled=False; SNP count=1240909; comment=None,True,direct Parkinson case-control phenotype; variant-level genome-wide design; 1 ontology-linked reported associations
GCST90042668,Illnesses of father: Parkinson's disease (UKB data field 20107_11),Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,A generalized linear mixed model association tool for biobank-scale data. ,Nat Genet,34737426,Jiang L,2021,"9,960 European ancestry cases, 383,719 European ancestry controls",393679,NA,0,European,0,True,technology=Genome-wide genotyping array; imputed=True; pooled=False; SNP count=11842647; comment=None,False,not primary-eligible: no ontology-linked reported associations; trait=Illnesses of father: Parkinson's disease (UKB data field 20107_11)
