study_accession,study_rank,selection_score,sample_size,replication,ancestry,summary_statistics_available,publication_year,number_of_associations,selection_reason,primary_selected,independent_validation_candidate
GCST90828116,18,4,79766,NA,East Asian,False,2026,22,direct Parkinson case-control phenotype; variant-level genome-wide design; 22 ontology-linked reported associations,False,True
GCST000959,19,4,17352,"7,053 cases, 9,007 controls",European; NR,False,2011,11,direct Parkinson case-control phenotype; variant-level genome-wide design; 11 ontology-linked reported associations; multiple ancestry groups,False,False
GCST90270939,20,4,4450,"8,209 Chinese ancestry cases, 9,454 Chinese ancestry controls",East Asian,False,2023,19,direct Parkinson case-control phenotype; variant-level genome-wide design; 19 ontology-linked reported associations,False,True
GCST001445,21,4,4258,"Up to 98,080 European and Asian ancestry individuals ",European; Asian unspecified; NR,False,2012,6,direct Parkinson case-control phenotype; variant-level genome-wide design; 6 ontology-linked reported associations; multiple ancestry groups,False,False
GCST000002,22,4,886,"269 European ancestry cases, 272 European ancestry controls, 62 cases, 60 controls, 1 Asian ancestry case",European; Other; Asian unspecified,False,2005,1,direct Parkinson case-control phenotype; variant-level genome-wide design; 1 ontology-linked reported associations; multiple ancestry groups,False,False
GCST001126,23,3,33050,NA,European,False,2011,11,direct Parkinson case-control phenotype; variant-level genome-wide design; 11 ontology-linked reported associations,False,False
GCST001430,24,3,8477,"3,738 European ancestry cases, 2,111 European ancestry controls",European,False,2012,17,direct Parkinson case-control phenotype; variant-level genome-wide design; 17 ontology-linked reported associations,False,False
GCST90428733,25,3,7072,NA,NR,False,2023,37,direct Parkinson case-control phenotype; variant-level genome-wide design; 37 ontology-linked reported associations,False,False
GCST000528,26,3,5691,"3,361 European ancestry cases, 4,573 European ancestry controls",European,False,2009,10,direct Parkinson case-control phenotype; variant-level genome-wide design; 10 ontology-linked reported associations,False,False
GCST000772,27,3,3986,"Up to 1,447 cases, 1,468 controls",European; NR,False,2010,4,direct Parkinson case-control phenotype; variant-level genome-wide design; 4 ontology-linked reported associations; multiple ancestry groups,False,False
GCST90026456,28,3,1497,"1,234 Latino cases, 439,522 Latino controls",Hispanic or Latin American,False,2021,1,direct Parkinson case-control phenotype; variant-level genome-wide design; 1 ontology-linked reported associations,False,False
GCST000855,29,2,6880,"1,039 European ancestry cases, 1,984 European ancestry controls",European,False,2010,3,direct Parkinson case-control phenotype; variant-level genome-wide design; 3 ontology-linked reported associations,False,False
GCST002353,30,2,3986,"1,528 European ancestry sporadic Parkinson's disease cases, 707 European ancestry familial Parkinson's disease cases, 796 European ancestry controls",European,False,2014,8,direct Parkinson case-control phenotype; variant-level genome-wide design; 8 ontology-linked reported associations,False,False
GCST002455,31,2,3741,"306 Ashkenazi Jewish cases, 2,583 Ashkenazi Jewish controls",Other,False,2014,4,direct Parkinson case-control phenotype; variant-level genome-wide design; 4 ontology-linked reported associations,False,False
GCST000530,32,2,3509,"933 Japanese ancestry cases, 15,753 Japanese ancestry controls",East Asian,False,2009,4,direct Parkinson case-control phenotype; variant-level genome-wide design; 4 ontology-linked reported associations,False,False
GCST000874,33,2,3023,"3,232 European ancestry cases, 7,064 European ancestry controls",European,False,2010,3,direct Parkinson case-control phenotype; variant-level genome-wide design; 3 ontology-linked reported associations,False,False
GCST90320240,34,2,1878,NA,South Asian,False,2023,2,direct Parkinson case-control phenotype; variant-level genome-wide design; 2 ontology-linked reported associations,False,False
GCST90095083,35,2,1864,NA,European,False,2021,3,direct Parkinson case-control phenotype; variant-level genome-wide design; 3 ontology-linked reported associations,False,False
GCST003059,36,2,500,NA,East Asian,False,2015,22,direct Parkinson case-control phenotype; variant-level genome-wide design; 22 ontology-linked reported associations,False,False
GCST001189,37,2,446,"1,782 European ancestry cases, 1,658 European ancestry controls",European,False,2011,3,direct Parkinson case-control phenotype; variant-level genome-wide design; 3 ontology-linked reported associations,False,False
GCST009512,38,1,7588,NA,European,False,2019,7,direct Parkinson case-control phenotype; variant-level genome-wide design; 7 ontology-linked reported associations,False,False
GCST000567,39,1,3497,NA,European,False,2010,6,direct Parkinson case-control phenotype; variant-level genome-wide design; 6 ontology-linked reported associations,False,False
GCST002077,40,1,798,NA,European,False,2013,3,direct Parkinson case-control phenotype; variant-level genome-wide design; 3 ontology-linked reported associations,False,False
GCST000005,41,1,537,NA,European,False,2006,3,direct Parkinson case-control phenotype; variant-level genome-wide design; 3 ontology-linked reported associations,False,False
GCST90275127,42,-1,611485,NA,European; East Asian; Hispanic or Latin American,True,2023,0,not primary-eligible: no ontology-linked reported associations; trait=Parkinson's disease,False,False
GCST010990,43,-1,495840,NA,European,False,2020,0,not primary-eligible: no ontology-linked reported associations; trait=Parkinson's disease or schizophrenia,False,False
GCST009325,44,-1,482730,"22,632 European ancestry cases, 968,735 European ancestry controls",European,True,2019,107,not primary-eligible: phenotype/design is not a direct common-variant Parkinson risk GWAS; trait=Parkinson's disease or first degree relation to individual with Parkinson's disease,False,False
GCST90473307,45,-1,458440,NA,European,True,2025,0,not primary-eligible: no ontology-linked reported associations; trait=ICD10 G20: Parkinson's disease,False,False
GCST90043734,46,-1,456348,NA,European,True,2021,0,not primary-eligible: no ontology-linked reported associations; trait=Parkinson's disease (PheCode 332),False,False
GCST90078270,47,-1,423686,"1,327 European ancestry cases, 115,197 European ancestry controls",European,True,2021,0,not primary-eligible: no ontology-linked reported associations; trait=Illnesses of mother - Parkinsons disease (UKB data field 20110),False,False
GCST90082256,48,-1,423686,NA,European,True,2021,0,not primary-eligible: no ontology-linked reported associations; trait=Illnesses of mother - Parkinsons disease (UKB data field 20110) (Gene-based burden),False,False
GCST90078254,49,-1,419597,NA,European,True,2021,0,not primary-eligible: no ontology-linked reported associations; trait=Illnesses of father - Parkinsons disease (UKB data field 20107),False,False
GCST90082240,50,-1,419597,NA,European,True,2021,0,not primary-eligible: no ontology-linked reported associations; trait=Illnesses of father - Parkinsons disease (UKB data field 20107) (Gene-based burden),False,False
GCST90042681,51,-1,416553,NA,European,True,2021,0,not primary-eligible: no ontology-linked reported associations; trait=Illnesses of mother: Parkinson's disease (UKB data field 20110_11),False,False
GCST90479726,52,-1,400487,NA,African American or Afro-Caribbean; European; Hispanic or Latin American,True,2024,3,not primary-eligible: phenotype/design is not a direct common-variant Parkinson risk GWAS; trait=Takes medication for parkinson's disease?,False,False
GCST90435905,53,-1,396336,NA,European,True,2018,0,not primary-eligible: no ontology-linked reported associations; trait=Parkinson's disease (PheCode 332),False,False
GCST90042668,54,-1,393679,NA,European,True,2021,0,not primary-eligible: no ontology-linked reported associations; trait=Illnesses of father: Parkinson's disease (UKB data field 20107_11),False,False
GCST90079817,55,-1,387664,NA,European,True,2021,0,not primary-eligible: no ontology-linked reported associations; trait=ICD10 G20: Parkinson's disease,False,False
GCST90083803,56,-1,387664,NA,European,True,2021,0,not primary-eligible: no ontology-linked reported associations; trait=ICD10 G20: Parkinson's disease (Gene-based burden),False,False
GCST90078285,57,-1,371732,NA,European,True,2021,0,not primary-eligible: no ontology-linked reported associations; trait=Illnesses of siblings - Parkinsons disease (UKB data field 20111),False,False
GCST90082271,58,-1,371732,NA,European,True,2021,0,not primary-eligible: no ontology-linked reported associations; trait=Illnesses of siblings - Parkinsons disease (UKB data field 20111) (Gene-based burden),False,False
GCST90042694,59,-1,355975,NA,European,True,2021,0,not primary-eligible: no ontology-linked reported associations; trait=Illnesses of siblings: Parkinson's disease (UKB data field 20111_11),False,False
GCST90077741,60,-1,331754,NA,European,True,2021,0,not primary-eligible: no ontology-linked reported associations; trait=Parkinsons disease,False,False
GCST90081727,61,-1,331754,NA,European,True,2021,0,not primary-eligible: no ontology-linked reported associations; trait=Parkinsons disease (Gene-based burden),False,False
GCST90077742,62,-1,329052,NA,European,True,2021,0,not primary-eligible: no ontology-linked reported associations; trait=ICD10 G20: parkinsons disease,False,False
GCST90081728,63,-1,329052,NA,European,True,2021,0,not primary-eligible: no ontology-linked reported associations; trait=ICD10 G20: parkinsons disease (Gene-based burden),False,False
GCST90476961,64,-1,315668,NA,European,True,2024,0,not primary-eligible: no ontology-linked reported associations; trait=Parkinson's disease,False,False
GCST90476962,65,-1,315668,NA,European,True,2024,0,not primary-eligible: no ontology-linked reported associations; trait=Takes medication for parkinson's disease?,False,False
GCST90297582,66,-1,309579,"341 European ancestry cases, 77,426 European ancestry controls",European,True,2024,0,not primary-eligible: no ontology-linked reported associations; trait=ICD10 G20: Parkinson's disease (CNV mirror model),False,False
GCST90297636,67,-1,309579,"341 European ancestry cases, 77,426 European ancestry controls",European,True,2024,0,not primary-eligible: no ontology-linked reported associations; trait=ICD10 G20: Parkinson's disease (CNV U-shape model),False,False
GCST90297732,68,-1,309579,"341 European ancestry cases, 77,426 European ancestry controls",European,True,2024,0,not primary-eligible: no ontology-linked reported associations; trait=ICD10 G20: Parkinson's disease (CNV deletion-only model),False,False
GCST90104085,69,-1,302908,"535 European ancestry cases, 1,317 European ancestry controls",European,True,2021,0,not primary-eligible: no ontology-linked reported associations; trait=Parkinson's disease,False,False
GCST010765,70,-1,282871,NA,European,True,2020,0,not primary-eligible: no ontology-linked reported associations; trait=Parkinson's disease (time to event),False,False
GCST90651411,71,-1,220257,NA,East Asian,False,2025,1,not primary-eligible: phenotype/design is not a direct common-variant Parkinson risk GWAS; trait=Parkinson's disease (PheCode 332),False,False
GCST90018674,72,-1,176128,NA,East Asian,True,2021,0,not primary-eligible: no ontology-linked reported associations; trait=Parkinson's disease,False,False
GCST90319903,73,-1,161740,NA,European,True,2024,0,not primary-eligible: no ontology-linked reported associations; trait=Parkinson's disease,False,False
GCST90477509,74,-1,121604,NA,African American or Afro-Caribbean,True,2024,0,not primary-eligible: no ontology-linked reported associations; trait=Parkinson's disease,False,False
GCST90246062,75,-1,75927,NA,East Asian,True,2023,0,not primary-eligible: no ontology-linked reported associations; trait=ICD10 G20: parkinsons disease,False,False
GCST008910,76,-1,62103,NA,South Asian; Hispanic or Latin American; Sub-Saharan African; European,False,2019,0,not primary-eligible: no ontology-linked reported associations; trait=Multiple traits (pleiotropy),False,False
GCST90477508,77,-1,59730,NA,Hispanic or Latin American,True,2024,0,not primary-eligible: no ontology-linked reported associations; trait=Parkinson's disease,False,False
GCST90256604,78,-1,56306,NA,European,False,2023,2,not primary-eligible: phenotype/design is not a direct common-variant Parkinson risk GWAS; trait=Parkinson disease (MTAG),False,False
GCST90481401,79,-1,55505,NA,African American or Afro-Caribbean,False,2024,0,not primary-eligible: no ontology-linked reported associations; trait=Parkinson's disease,False,False
GCST90481403,80,-1,55505,NA,African American or Afro-Caribbean,False,2024,0,not primary-eligible: no ontology-linked reported associations; trait=Takes medication for parkinson's disease?,False,False
GCST90892629,81,-1,35098,NA,European,False,2026,22,not primary-eligible: phenotype/design is not a direct common-variant Parkinson risk GWAS; trait=Parkinson's disease or related grey matter volume atrophy (pleiotropy),False,False
GCST90481400,82,-1,29314,NA,Hispanic or Latin American,False,2024,0,not primary-eligible: no ontology-linked reported associations; trait=Parkinson's disease,False,False
GCST90481402,83,-1,29314,NA,Hispanic or Latin American,False,2024,0,not primary-eligible: no ontology-linked reported associations; trait=Takes medication for parkinson's disease?,False,False
GCST009324,84,-1,27693,"22,632 European ancestry cases, 968,735 European ancestry controls",European,True,2019,0,not primary-eligible: no ontology-linked reported associations; trait=Parkinson's disease,False,False
GCST009373,85,-1,9172,"up to 1,194 European ancestry cases, up to 13,901 European ancestry controls",European,True,2019,2,not primary-eligible: phenotype/design is not a direct common-variant Parkinson risk GWAS; trait=Parkinson's disease in GBA mutation carriers,False,False
GCST90278092,86,-1,6050,NA,East Asian,True,2023,5,not primary-eligible: phenotype/design is not a direct common-variant Parkinson risk GWAS; trait=Parkinson's disease,False,False
GCST90709787,87,-1,5744,NA,European,False,2024,10,not primary-eligible: phenotype/design is not a direct common-variant Parkinson risk GWAS; trait=Mortality (time to event) in Parkinson's disease,False,False
GCST90270129,88,-1,3923,NA,European,False,2022,3,not primary-eligible: phenotype/design is not a direct common-variant Parkinson risk GWAS; trait=Parkinson’s disease progression to dementia,False,False
GCST90321081,89,-1,3572,NA,European,False,2023,3,not primary-eligible: phenotype/design is not a direct common-variant Parkinson risk GWAS; trait=Parkinson disease axial motor progression,False,False
GCST90321084,90,-1,3572,NA,European,False,2023,3,not primary-eligible: phenotype/design is not a direct common-variant Parkinson risk GWAS; trait=Parkinson disease axial motor severity,False,False
GCST90321082,91,-1,3572,NA,European,False,2023,0,not primary-eligible: no ontology-linked reported associations; trait=Parkinson disease limb motor progression,False,False
GCST90321083,92,-1,3572,NA,European,False,2023,0,not primary-eligible: no ontology-linked reported associations; trait=Parkinson disease motor progression,False,False
GCST90321085,93,-1,3572,NA,European,False,2023,0,not primary-eligible: no ontology-linked reported associations; trait=Parkinson disease limb motor severity,False,False
GCST90321086,94,-1,3572,NA,European,False,2023,0,not primary-eligible: no ontology-linked reported associations; trait=Parkinson disease motor severity,False,False
GCST90709786,95,-1,3331,NA,European,False,2024,11,not primary-eligible: phenotype/design is not a direct common-variant Parkinson risk GWAS; trait=Motor progression (time to event) in Parkinson's disease,False,False
GCST90709788,96,-1,3331,NA,European; NR,False,2024,2,not primary-eligible: phenotype/design is not a direct common-variant Parkinson risk GWAS; trait=Motor progression (time to event) in Parkinson's disease,False,False
GCST90296432,97,-1,3164,NA,East Asian,False,2023,2,not primary-eligible: phenotype/design is not a direct common-variant Parkinson risk GWAS; trait=Parkinson's disease,False,False
GCST90296433,98,-1,2886,NA,East Asian,False,2023,6,not primary-eligible: phenotype/design is not a direct common-variant Parkinson risk GWAS; trait=Parkinson's disease,False,False
GCST011038,99,-1,2848,NA,Not reported,True,2020,10,not primary-eligible: phenotype/design is not a direct common-variant Parkinson risk GWAS; trait=Parkinson's disease progression (motor),False,False
GCST90000014,100,-1,2829,NA,European,True,2021,7,not primary-eligible: phenotype/design is not a direct common-variant Parkinson risk GWAS; trait=Parkinson's disease motor subtype (tremor dominant vs postural instability/gait difficulty),False,False
GCST000950,101,-1,2796,NA,European,False,2011,0,not primary-eligible: no ontology-linked reported associations; trait=Parkinson's disease,False,False
GCST011037,102,-1,2788,NA,Not reported,True,2020,10,not primary-eligible: phenotype/design is not a direct common-variant Parkinson risk GWAS; trait=Parkinson's disease progression (cognitive),False,False
GCST011039,103,-1,2755,NA,Not reported,True,2020,10,not primary-eligible: phenotype/design is not a direct common-variant Parkinson risk GWAS; trait=Parkinson's disease progression (composite),False,False
GCST001205,104,-1,2389,"1,014 European ancestry cases, 1,917 European ancestry controls",European,False,2011,0,not primary-eligible: no ontology-linked reported associations; trait=Parkinson's disease (coffee consumption interaction),False,False
GCST90828117,105,-1,2331,NA,East Asian,False,2026,3,not primary-eligible: phenotype/design is not a direct common-variant Parkinson risk GWAS; trait=Parkinson’s disease progression to dementia,False,False
GCST000261,106,-1,2246,NA,European,False,2008,1,not primary-eligible: phenotype/design is not a direct common-variant Parkinson risk GWAS; trait=Parkinson's disease (familial),False,False
GCST007198,107,-1,1950,726 European ancestry cases,European,False,2018,1,not primary-eligible: phenotype/design is not a direct common-variant Parkinson risk GWAS; trait=Parkinson's disease (age at diagnosis),False,False
GCST002778,108,-1,1629,NA,European,False,2015,10,not primary-eligible: phenotype/design is not a direct common-variant Parkinson risk GWAS; trait=Parkinson disease and lewy body pathology,False,False
GCST001617,109,-1,883,NA,European,False,2012,0,not primary-eligible: no ontology-linked reported associations; trait=Parkinson's disease,False,False
GCST003600,110,-1,728,NA,Not reported,False,2016,1,not primary-eligible: phenotype/design is not a direct common-variant Parkinson risk GWAS; trait=Parkinson's disease (pesticide exposure interaction),False,False
GCST005548,111,-1,587,NA,European,False,2015,0,not primary-eligible: no ontology-linked reported associations; trait=Parkinson's disease,False,False
GCST001546,112,-1,443,NA,European,False,2012,5,not primary-eligible: phenotype/design is not a direct common-variant Parkinson risk GWAS; trait=Parkinson's disease (motor and cognition),False,False
GCST006153,113,-1,382,NA,European,False,2018,3,not primary-eligible: phenotype/design is not a direct common-variant Parkinson risk GWAS; trait=Parkinsonism in frontotemporal lobe dementia,False,False
