gene,ensembl_id,gene_name,gene_weight,max_l2g_score,mean_l2g_score,n_credible_sets,n_stage_03_loci,credible_set_ids,stage_03_loci,lead_variants,top_credible_set_id,top_lead_variant,top_locus,study,score_interpretation,selection_rule
NOD2,ENSG00000167207,nucleotide binding oligomerization domain containing 2,0.7565200924873352,0.7565200924873352,0.7565200924873352,1,1,c4324116aa13f50cded13161dc92c6bd,PD_CHR16_062,rs34133110,c4324116aa13f50cded13161dc92c6bd,rs34133110,PD_CHR16_062,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.615029)
RNF141,ENSG00000110315,ring finger protein 141,0.7541582584381104,0.7541582584381104,0.7541582584381104,1,1,3e13e700e702859efc1893b1447cbe74,PD_CHR11_043,rs4910150,3e13e700e702859efc1893b1447cbe74,rs4910150,PD_CHR11_043,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.615029)
MAP4K4,ENSG00000071054,mitogen-activated protein kinase kinase kinase kinase 4,0.7526438236236572,0.7526438236236572,0.7526438236236572,1,1,fc4abf134a9277d1a61486c08d7dfbfe,PD_CHR02_010,rs11683001,fc4abf134a9277d1a61486c08d7dfbfe,rs11683001,PD_CHR02_010,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.615029)
DYRK1A,ENSG00000157540,dual specificity tyrosine phosphorylation regulated kinase 1A,0.7525694370269775,0.7525694370269775,0.7525694370269775,1,1,99953a2192622c8188ffde74b66139c5,PD_CHR21_078,rs2248244,99953a2192622c8188ffde74b66139c5,rs2248244,PD_CHR21_078,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.615029)
IRS2,ENSG00000185950,insulin receptor substrate 2,0.7469207048416138,0.7469207048416138,0.7469207048416138,1,1,e5ba17ca78d559dbcdc1b5be492db7ab,PD_CHR13_054,rs1078514,e5ba17ca78d559dbcdc1b5be492db7ab,rs1078514,PD_CHR13_054,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.615029)
GALC,ENSG00000054983,galactosylceramidase,0.730959951877594,0.730959951877594,0.730959951877594,1,1,96331731b4895b8745ce0bfa50d10d9b,PD_CHR14_058,rs1561758,96331731b4895b8745ce0bfa50d10d9b,rs1561758,PD_CHR14_058,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.615029)
TOX3,ENSG00000103460,TOX high mobility group box family member 3,0.7276461720466614,0.7276461720466614,0.7276461720466614,1,1,fff01aee854c10480f3e04fbb440d230,PD_CHR16_063,rs3104776,fff01aee854c10480f3e04fbb440d230,rs3104776,PD_CHR16_063,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.615029)
ASXL3,ENSG00000141431,ASXL transcriptional regulator 3,0.7160765528678894,0.7160765528678894,0.7160765528678894,1,1,2f9e25d1a8195d90781eb14bac1b9e04,PD_CHR18_071,rs8091977,2f9e25d1a8195d90781eb14bac1b9e04,rs8091977,PD_CHR18_071,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.615029)
PKP2,ENSG00000057294,plakophilin 2,0.7130399346351624,0.7130399346351624,0.7130399346351624,1,1,97a2c12e26b0765502779cb2b646396c,PD_CHR12_046,rs148163066,97a2c12e26b0765502779cb2b646396c,rs148163066,PD_CHR12_046,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.615029)
SLC18B1,ENSG00000146409,solute carrier family 18 member B1,0.702358067035675,0.702358067035675,0.702358067035675,1,1,1dbafcbc9c4d6dcfbff2f84b031d9bfb,PD_CHR06_033,rs41286192,1dbafcbc9c4d6dcfbff2f84b031d9bfb,rs41286192,PD_CHR06_033,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.615029)
ALG10,ENSG00000139133,"ALG10 alpha-1,2-glucosyltransferase",0.7019623517990112,0.7019623517990112,0.7019623517990112,1,1,f9b779f48569ccfa8fe2520d08d8f71e,PD_CHR12_047,rs4421827,f9b779f48569ccfa8fe2520d08d8f71e,rs4421827,PD_CHR12_047,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.615029)
SLC2A13,ENSG00000151229,solute carrier family 2 member 13,0.700274646282196,0.700274646282196,0.700274646282196,1,1,2c3245c431e1080e62236340d5909691,PD_CHR12_048,rs28370650,2c3245c431e1080e62236340d5909691,rs28370650,PD_CHR12_048,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.615029)
SPPL2B,ENSG00000005206,signal peptide peptidase like 2B,0.6948310136795044,0.6948310136795044,0.6948310136795044,1,1,8a461a2c971ef86ed5a5d9b2c23e1354,PD_CHR19_074,rs55818311,8a461a2c971ef86ed5a5d9b2c23e1354,rs55818311,PD_CHR19_074,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.615029)
FAM47E,ENSG00000189157,family with sequence similarity 47 member E,0.6943575739860535,0.6943575739860535,0.6943575739860535,1,1,1e924521aa2b80f1e6f0db4da634f37c,PD_CHR04_023,rs6854006,1e924521aa2b80f1e6f0db4da634f37c,rs6854006,PD_CHR04_023,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.615029)
FBRSL1,ENSG00000112787,fibrosin like 1,0.6778879165649414,0.6778879165649414,0.6778879165649414,1,1,798ef74d91d0316096bbaf61adbe5394,PD_CHR12_052,rs11610045,798ef74d91d0316096bbaf61adbe5394,rs11610045,PD_CHR12_052,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.615029)
RIMS1,ENSG00000079841,regulating synaptic membrane exocytosis 1,0.67091304063797,0.67091304063797,0.67091304063797,1,1,4b65b08c63cc0ebe8ffe639e66d33902,PD_CHR06_031,rs12528068,4b65b08c63cc0ebe8ffe639e66d33902,rs12528068,PD_CHR06_031,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.615029)
SEC23IP,ENSG00000107651,SEC23 interacting protein,0.6697301864624023,0.6697301864624023,0.6697301864624023,1,1,73c7501597a8395fc0fb977252fc6ecf,PD_CHR10_042,rs118117788,73c7501597a8395fc0fb977252fc6ecf,rs118117788,PD_CHR10_042,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.615029)
MCCC1,ENSG00000078070,methylcrotonyl-CoA carboxylase subunit 1,0.6534242630004883,0.6534242630004883,0.6534242630004883,1,1,6b4412018b3b46e39eaf2a795e0c86ff,PD_CHR03_019,rs10513789,6b4412018b3b46e39eaf2a795e0c86ff,rs10513789,PD_CHR03_019,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.615029)
LCORL,ENSG00000178177,ligand dependent nuclear receptor corepressor like,0.6404941082000732,0.6404941082000732,0.6404941082000732,1,1,43cca9beb1307ea30018f9b3e6cb0394,PD_CHR04_022,rs7673321,43cca9beb1307ea30018f9b3e6cb0394,rs7673321,PD_CHR04_022,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.615029)
ELOVL7,ENSG00000164181,ELOVL fatty acid elongase 7,0.6225336194038391,0.6225336194038391,0.6225336194038391,1,1,9840f5d6f7096f80fa7acf2b9bd26d23,PD_CHR05_027,rs1867598,9840f5d6f7096f80fa7acf2b9bd26d23,rs1867598,PD_CHR05_027,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.615029)
SLC50A1,ENSG00000169241,solute carrier family 50 member 1,0.6150293350219727,0.6150293350219727,0.6150293350219727,1,1,32b726309ce69671e5eadf6258ed8a7e,PD_CHR01_002,rs35682329,32b726309ce69671e5eadf6258ed8a7e,rs35682329,PD_CHR01_002,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.615029)
