rank,gene,ensembl_id,locus,credible_set,lead_variant,l2g_score,fine_mapping_method,evidence
1,ITPKB,ENSG00000143772,PD_CHR01_008,b66309d22dd2384d5567a0af77a089a3,rs4653767,0.9014809131622314,PICS,highest-prioritized candidate gene; Open Targets L2G; high_prioritization; score is not proof of causality
20,MAP4K4,ENSG00000071054,PD_CHR02_010,fc4abf134a9277d1a61486c08d7dfbfe,rs11683001,0.7526438236236572,PICS,highest-prioritized candidate gene; Open Targets L2G; high_prioritization; score is not proof of causality
21,DYRK1A,ENSG00000157540,PD_CHR21_078,99953a2192622c8188ffde74b66139c5,rs2248244,0.7525694370269775,PICS,highest-prioritized candidate gene; Open Targets L2G; high_prioritization; score is not proof of causality
22,IRS2,ENSG00000185950,PD_CHR13_054,e5ba17ca78d559dbcdc1b5be492db7ab,rs1078514,0.7469207048416138,PICS,highest-prioritized candidate gene; Open Targets L2G; high_prioritization; score is not proof of causality
23,GALC,ENSG00000054983,PD_CHR14_058,96331731b4895b8745ce0bfa50d10d9b,rs1561758,0.730959951877594,PICS,highest-prioritized candidate gene; Open Targets L2G; high_prioritization; score is not proof of causality
24,TOX3,ENSG00000103460,PD_CHR16_063,fff01aee854c10480f3e04fbb440d230,rs3104776,0.7276461720466614,PICS,highest-prioritized candidate gene; Open Targets L2G; high_prioritization; score is not proof of causality
25,ASXL3,ENSG00000141431,PD_CHR18_071,2f9e25d1a8195d90781eb14bac1b9e04,rs8091977,0.7160765528678894,PICS,highest-prioritized candidate gene; Open Targets L2G; high_prioritization; score is not proof of causality
26,PKP2,ENSG00000057294,PD_CHR12_046,97a2c12e26b0765502779cb2b646396c,rs148163066,0.7130399346351624,PICS,highest-prioritized candidate gene; Open Targets L2G; high_prioritization; score is not proof of causality
27,SLC18B1,ENSG00000146409,PD_CHR06_033,1dbafcbc9c4d6dcfbff2f84b031d9bfb,rs41286192,0.702358067035675,PICS,highest-prioritized candidate gene; Open Targets L2G; high_prioritization; score is not proof of causality
28,ALG10,ENSG00000139133,PD_CHR12_047,f9b779f48569ccfa8fe2520d08d8f71e,rs4421827,0.7019623517990112,PICS,highest-prioritized candidate gene; Open Targets L2G; high_prioritization; score is not proof of causality
29,SLC2A13,ENSG00000151229,PD_CHR12_048,2c3245c431e1080e62236340d5909691,rs28370650,0.700274646282196,PICS,highest-prioritized candidate gene; Open Targets L2G; high_prioritization; score is not proof of causality
30,SPPL2B,ENSG00000005206,PD_CHR19_074,8a461a2c971ef86ed5a5d9b2c23e1354,rs55818311,0.6948310136795044,PICS,highest-prioritized candidate gene; Open Targets L2G; high_prioritization; score is not proof of causality
31,FAM47E,ENSG00000189157,PD_CHR04_023,1e924521aa2b80f1e6f0db4da634f37c,rs6854006,0.6943575739860535,PICS,highest-prioritized candidate gene; Open Targets L2G; high_prioritization; score is not proof of causality
32,FBRSL1,ENSG00000112787,PD_CHR12_052,798ef74d91d0316096bbaf61adbe5394,rs11610045,0.6778879165649414,PICS,highest-prioritized candidate gene; Open Targets L2G; high_prioritization; score is not proof of causality
33,RIMS1,ENSG00000079841,PD_CHR06_031,4b65b08c63cc0ebe8ffe639e66d33902,rs12528068,0.67091304063797,PICS,highest-prioritized candidate gene; Open Targets L2G; high_prioritization; score is not proof of causality
34,SEC23IP,ENSG00000107651,PD_CHR10_042,73c7501597a8395fc0fb977252fc6ecf,rs118117788,0.6697301864624023,PICS,highest-prioritized candidate gene; Open Targets L2G; high_prioritization; score is not proof of causality
35,MCCC1,ENSG00000078070,PD_CHR03_019,6b4412018b3b46e39eaf2a795e0c86ff,rs10513789,0.6534242630004883,PICS,highest-prioritized candidate gene; Open Targets L2G; high_prioritization; score is not proof of causality
36,LCORL,ENSG00000178177,PD_CHR04_022,43cca9beb1307ea30018f9b3e6cb0394,rs7673321,0.6404941082000732,PICS,highest-prioritized candidate gene; Open Targets L2G; high_prioritization; score is not proof of causality
37,ELOVL7,ENSG00000164181,PD_CHR05_027,9840f5d6f7096f80fa7acf2b9bd26d23,rs1867598,0.6225336194038391,PICS,highest-prioritized candidate gene; Open Targets L2G; high_prioritization; score is not proof of causality
38,SLC50A1,ENSG00000169241,PD_CHR01_002,32b726309ce69671e5eadf6258ed8a7e,rs35682329,0.6150293350219727,PICS,highest-prioritized candidate gene; Open Targets L2G; high_prioritization; score is not proof of causality
39,DLG2,ENSG00000150672,PD_CHR11_044,205d43eb159b23bbe66b421d895af3c5,rs6592142,0.607625424861908,PICS,highest-prioritized candidate gene; Open Targets L2G; moderate_prioritization; score is not proof of causality
40,CAMK2D,ENSG00000145349,PD_CHR04_025,d204fd6006cfd62423c05e28743e170b,rs13117519,0.6061360836029053,PICS,highest-prioritized candidate gene; Open Targets L2G; moderate_prioritization; score is not proof of causality
41,VAMP4,ENSG00000117533,PD_CHR01_006,65fe3ec96504bae9043f65f6bcd412c7,rs10903,0.5934772491455078,PICS,highest-prioritized candidate gene; Open Targets L2G; moderate_prioritization; score is not proof of causality
42,USP25,ENSG00000155313,PD_CHR21_077,ead755c3c3641615dcc26a99ad313c0f,rs1736020,0.5770121216773987,PICS,highest-prioritized candidate gene; Open Targets L2G; moderate_prioritization; score is not proof of causality
43,SV2C,ENSG00000122012,PD_CHR05_028,6a25b7b9810bfcdb7a432396e5937024,rs246815,0.5758057832717896,PICS,highest-prioritized candidate gene; Open Targets L2G; moderate_prioritization; score is not proof of causality
44,ITGA8,ENSG00000077943,PD_CHR10_040,4fe27e0d56a20ce70103e1d88a7441d6,rs13664,0.5747663378715515,PICS,highest-prioritized candidate gene; Open Targets L2G; moderate_prioritization; score is not proof of causality
45,ITGA2B,ENSG00000005961,PD_CHR17_065,df2fab084418fef0861a6ed0373038ee,rs850731,0.5718092322349548,PICS,highest-prioritized candidate gene; Open Targets L2G; moderate_prioritization; score is not proof of causality
46,UBAP2,ENSG00000137073,PD_CHR09_039,ffbb9cad4773b611b2c63babbd5259d8,rs6476434,0.5707280039787292,PICS,highest-prioritized candidate gene; Open Targets L2G; moderate_prioritization; score is not proof of causality
47,PIK3CA,ENSG00000121879,PD_CHR03_018,756f75b6491487d11ae26f7277a0989d,rs6806917,0.5610139966011047,PICS,highest-prioritized candidate gene; Open Targets L2G; moderate_prioritization; score is not proof of causality
48,FASN,ENSG00000169710,PD_CHR17_070,b17c8074f1d156852f73e7a2b4e7412b,rs4485435,0.5596649646759033,PICS,highest-prioritized candidate gene; Open Targets L2G; moderate_prioritization; score is not proof of causality
49,FGF20,ENSG00000078579,PD_CHR08_036,3f5a3b8f2b1da9113670d0bb3a3bd2b6,rs34096562,0.5564497709274292,PICS,highest-prioritized candidate gene; Open Targets L2G; moderate_prioritization; score is not proof of causality
50,MED12L,ENSG00000144893,PD_CHR03_017,f4e65b87c2592c59a5c29bad1fc3aaf9,rs6803771,0.5456203818321228,PICS,highest-prioritized candidate gene; Open Targets L2G; moderate_prioritization; score is not proof of causality
